Record ID,Store Name,Store Street Address,Additional Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name
1514625,Los Muchachos Market,1325 Pembroke St,,Bridgeport,CT,6608,1744,FAIRFIELD,Convenience Store,41.192268,-73.177277,,
1545990,Los Paisanos Market,1132 Norman St,,Bridgeport,CT,6604,2234,FAIRFIELD,Convenience Store,41.182877,-73.209404,,
1095258,Los Primos Grocery Store,64 Roosevelt St,,Bridgeport,CT,6608,1030,FAIRFIELD,Convenience Store,41.198074,-73.185394,,
1507611,Los Primos Grocery Store #3,818 Noble Ave,,Bridgeport,CT,6608,1001,FAIRFIELD,Convenience Store,41.192829,-73.183731,,
1598022,Luz Mini Market Llc,1142 E Main St,,Bridgeport,CT,6608,1619,FAIRFIELD,Convenience Store,41.190308,-73.180412,,
839510,Maham Service Station Inc,927 Park Ave,,Bridgeport,CT,6604,3917,FAIRFIELD,Convenience Store,41.17403,-73.198029,,
1318594,M And S Grocery And Deli,1359 Park Ave,,Bridgeport,CT,6604,3050,FAIRFIELD,Convenience Store,41.17894,-73.202568,,
1030692,Mini Special Market,254 Orchard St,,Bridgeport,CT,6608,1203,FAIRFIELD,Convenience Store,41.195187,-73.177933,,
1591248,M&J Grocery LLC,582 Newfield Ave,,Bridgeport,CT,6607,1718,FAIRFIELD,Grocery Store,41.176544,-73.167038,,
1508042,Mo Mini Mart L.l.c,378 Wood Ave,,Bridgeport,CT,6605,1433,FAIRFIELD,Convenience Store,41.178173,-73.207558,,
1558896,Northend Variety,1482 Reservoir Ave,,Bridgeport,CT,6606,2506,FAIRFIELD,Grocery Store,41.220688,-73.192871,,
1523803,Nur 3 Corp,2808 Fairfield Ave,,Bridgeport,CT,6605,3047,FAIRFIELD,Convenience Store,41.157684,-73.226318,,
1513447,Nur 6 Corp,1255 Madison Ave,,Bridgeport,CT,6606,4505,FAIRFIELD,Convenience Store,41.197514,-73.208633,,
